playerName,agent
caya1,"['brimstone', 'omen', 'sova']"
Sekkya,"['skye', 'kayo', 'fade']"
wlloh,"['killjoy', 'cypher', 'viper']"
riv,"['killjoy', 'cypher', 'viper']"
stupidseal9,"['cypher', 'killjoy']"
apple,"['omen', 'brimstone', 'killjoy']"
cait,"['viper', 'fade', 'breach']"
venus,"['raze', 'neon', 'jett']"
moni,"['viper', 'omen', 'cypher']"
paper,"['sova', 'fade']"
Stay,"['raze', 'reyna', 'jett']"
ShelbyLynn,"['killjoy', 'cypher']"
jessenia,['killjoy']
zoe,['sova']
Kestrel,"['kayo', 'gekko', 'raze']"
auraless,"['jett', 'raze']"
upset,"['raze', 'jett']"
JunaFour,"['viper', 'skye']"
cia,"['omen', 'clove']"
Kross,"['skye', 'breach', 'gekko']"
jid,"['sage', 'omen', 'viper']"
Unsane,"['killjoy', 'cypher', 'gekko']"
Jas,"['cypher', 'chamber', 'killjoy']"
Nyx,"['yoru', 'raze', 'killjoy']"
always,"['omen', 'brimstone', 'viper']"
Clocracy,"['omen', 'brimstone', 'viper']"
zev,"['raze', 'jett', 'neon']"
ShreyUwU,"['viper', 'gekko', 'sova']"
Zoue,"['viper', 'killjoy', 'omen']"
Biffy,"['skye', 'breach', 'astra']"
emi,"['killjoy', 'cypher']"
julia,"['sova', 'skye', 'gekko']"
kim,"['sova', 'skye']"
lmaojen,"['raze', 'jett', 'sova']"
sunrise,"['breach', 'skye', 'harbor']"
Phoxic,"['omen', 'skye']"
Celeste,"['jett', 'raze', 'yoru']"
shay,"['cypher', 'sova']"
sher,"['breach', 'sage', 'gekko']"
asuya,"['omen', 'viper']"
Sliicyy,"['raze', 'neon']"
deejay,"['jett', 'clove', 'raze']"
Andrea,"['viper', 'omen']"
ira,"['viper', 'breach', 'gekko']"
Momo,"['raze', 'fade']"
Coax,"['gekko', 'sova', 'harbor']"
des,"['killjoy', 'raze']"
stay,"['sova', 'raze']"
Huga,"['fade', 'viper', 'sova']"
tzu,"['reyna', 'raze']"
enderz,"['yoru', 'raze', 'jett']"
Bells,"['sova', 'viper', 'kayo']"
SamBam,"['cypher', 'killjoy']"
Risorah,"['kayo', 'breach', 'raze']"
aster,['sova']
alyssayye,"['killjoy', 'viper', 'cypher']"
AnnieEgo,"['astra', 'omen', 'brimstone']"
Aurorali,"['omen', 'brimstone']"
cohs,"['sova', 'skye', 'harbor']"
Tortian,"['omen', 'brimstone']"
nexes,"['raze', 'jett']"
Spooky,"['cypher', 'killjoy', 'raze']"
MAYYY,"['raze', 'cypher', 'viper']"
MochiMei,"['omen', 'astra']"
shin,['killjoy']
hyessica,['skye']
grimoire,"['viper', 'skye', 'jett']"
Vex,"['skye', 'gekko', 'sova']"
abbie2k,"['jett', 'cypher', 'raze']"
geri,"['omen', 'killjoy']"
svnny,"['breach', 'kayo', 'viper']"
FAIRY,['clove']
oranges,"['cypher', 'killjoy', 'deadlock']"
sxaph,"['raze', 'cypher', 'jett']"
partisan,"['kayo', 'skye', 'breach']"
rover,"['breach', 'sova', 'viper']"
speq,"['fade', 'kayo', 'breach']"
D3pr3ssion,['jett']
Neeish,"['clove', 'harbor', 'omen']"
Ames,"['gekko', 'breach', 'kayo']"
mintea,"['killjoy', 'cypher']"
harosir,"['breach', 'gekko', 'kayo']"
unfeel,"['breach', 'gekko', 'sova']"
overdose,"['killjoy', 'chamber', 'brimstone']"
evxl,"['viper', 'cypher']"
angie,"['jett', 'raze']"
Buhms,"['breach', 'skye', 'sova']"
cloudzzy,"['skye', 'breach', 'kayo']"
jellyfish,"['fade', 'kayo']"
pancake,"['killjoy', 'sova', 'skye']"
light,"['brimstone', 'omen']"
velma,['breach']
Slug,"['skye', 'gekko']"
April,['sova']
miau,"['omen', 'brimstone']"
mogurt,"['gekko', 'brimstone']"
Dig,"['omen', 'clove']"
Jay,['omen']
Sunny,"['cypher', 'killjoy']"
Gia,"['sova', 'skye', 'breach']"
sayon,"['skye', 'breach', 'omen']"
viyuu,"['kayo', 'sage', 'gekko']"
jocuS,"['viper', 'skye', 'breach']"
Para,"['gekko', 'skye']"
Xylandir,"['sova', 'brimstone', 'fade']"
leelee,"['skye', 'breach', 'sova']"
miniboss,"['harbor', 'astra', 'brimstone']"
atoki,"['viper', 'omen']"
Hyungwonho,"['viper', 'brimstone', 'omen']"
Aebix,"['cypher', 'omen', 'brimstone']"
big,"['sova', 'breach']"
phrog,['raze']
aki,"['breach', 'omen']"
emma,"['omen', 'harbor']"
SadLiii,"['cypher', 'skye']"
notamy,"['cypher', 'killjoy']"
aus,"['yoru', 'gekko', 'breach']"
jia,['jett']
spidey,"['cypher', 'sova']"
bitty,"['omen', 'clove', 'viper']"
Slewpy,"['omen', 'astra']"
jenny,"['brimstone', 'omen']"
ekoopy,"['gekko', 'kayo']"
vera,"['killjoy', 'viper', 'neon']"
sheween,"['gekko', 'cypher', 'fade']"
Psyncc,"['viper', 'astra', 'raze']"
Mekyiz,"['jett', 'fade']"
hanthrax,['killjoy']
Ash,"['raze', 'neon']"
tracy,"['fade', 'omen', 'kayo']"
chimken,"['cypher', 'brimstone']"
Wendigo,"['neon', 'jett', 'yoru']"
Vibing,"['raze', 'jett', 'omen']"
kayvzz,"['raze', 'jett']"
Nymfelie,"['raze', 'jett']"
popcorinna,"['viper', 'omen']"
MrWhiskers,['neon']
tom1e,"['omen', 'brimstone', 'gekko']"
queebae,"['astra', 'viper', 'reyna']"
Daki,"['viper', 'omen', 'brimstone']"
urinals,"['brimstone', 'astra', 'omen']"
jaleena,"['omen', 'harbor', 'cypher']"
blondesh,"['kayo', 'skye']"
Luna1,"['gekko', 'sova', 'neon']"
mochs,"['harbor', 'omen']"
Esub12,"['killjoy', 'cypher']"
Angle,"['sage', 'viper', 'breach']"
momo,"['fade', 'sova']"
matchai,"['harbor', 'cypher', 'killjoy']"
Allyora,"['jett', 'raze', 'breach']"
anie,"['astra', 'sage']"
Lucid,"['viper', 'sova']"
Frootcuhp,"['skye', 'viper']"
lyla,"['breach', 'kayo', 'harbor']"
Kiiromine,"['raze', 'jett', 'neon']"
hannah,"['omen', 'fade', 'sova']"
Alexa,['sova']
Sunden,"['viper', 'sova', 'gekko']"
Obskury,"['omen', 'sova', 'cypher']"
inthemood,"['sova', 'raze']"
Luna,"['gekko', 'raze']"
lovelyn,"['raze', 'jett']"
ARIANARCHIST,"['skye', 'breach']"
mosu,"['gekko', 'sova']"
dire,"['killjoy', 'omen']"
taylorvi,['breach']
juls,"['jett', 'raze']"
smolbananya,"['gekko', 'killjoy', 'cypher']"
Dazai,['sova']
tiffy,"['sova', 'brimstone']"
DvckyC,"['breach', 'skye']"
sleepy,"['omen', 'viper']"
My200Ping,"['killjoy', 'fade', 'cypher']"
Tia,"['skye', 'kayo']"
Toishi,"['omen', 'kayo']"
0megara,"['breach', 'sova']"
katwnotail,"['killjoy', 'skye']"
sasha,['raze']
Fall,"['kayo', 'fade']"
lylac,['raze']
boopie,"['harbor', 'viper', 'gekko']"
beila,"['breach', 'kayo']"
taciturn,"['cypher', 'killjoy']"
buoy,"['gekko', 'brimstone']"
Ciielo,"['jett', 'raze']"
sakura,"['sova', 'breach']"
miya,"['cypher', 'killjoy']"
Glaceon,"['omen', 'viper']"
banjo,"['viper', 'fade', 'gekko']"
ceno,"['jett', 'raze', 'clove']"
vanessa,"['cypher', 'killjoy']"
jenn,"['killjoy', 'cypher']"
luna,"['raze', 'omen']"
shayellow,['viper']
TokiVCT,"['skye', 'sova']"
esoyboy,"['viper', 'skye']"
Vania,"['omen', 'viper', 'harbor']"
Lyépa,"['gekko', 'kayo', 'omen']"
Panadera,['sova']
weyvcode,['raze']
Jade,"['omen', 'kayo', 'breach']"
ChloePrice,"['yoru', 'sova']"
LoraFPS,"['raze', 'jett']"
mads,"['raze', 'jett']"
kidziax,"['phoenix', 'harbor']"
Joliinaa,"['omen', 'astra', 'viper']"
Janna,"['brimstone', 'viper', 'omen']"
Akita,"['reyna', 'phoenix', 'jett']"
rezq,"['raze', 'jett', 'yoru']"
ness,"['killjoy', 'cypher', 'kayo']"
Lil,"['omen', 'brimstone', 'viper']"
fluxxy,"['breach', 'cypher', 'killjoy']"
mimi,"['breach', 'brimstone', 'gekko']"
anesilia,"['skye', 'fade', 'sova']"
happy,"['breach', 'killjoy', 'fade']"
winter,"['fade', 'sova']"
Thuy,"['omen', 'viper', 'brimstone']"
jduh,"['fade', 'astra', 'sova']"
mediKa,"['sova', 'breach', 'kayo']"
Laleh,"['gekko', 'sage', 'sova']"
bee,"['killjoy', 'viper', 'cypher']"
aNNja,"['jett', 'raze', 'reyna']"
SendyClaire,"['cypher', 'killjoy']"
LizA,"['killjoy', 'cypher', 'viper']"
Anva,"['viper', 'gekko', 'killjoy']"
Bobbiexo,"['killjoy', 'cypher', 'brimstone']"
DREAM,"['viper', 'omen', 'killjoy']"
sillydomi,"['brimstone', 'omen', 'clove']"
klaudia,"['kayo', 'breach']"
Xaline,"['cypher', 'deadlock', 'killjoy']"
Glance,"['omen', 'sova', 'breach']"
Ayaka,"['breach', 'gekko']"
ritsu,"['killjoy', 'cypher', 'chamber']"
amy,"['cypher', 'killjoy', 'viper']"
moshieroo,"['fade', 'kayo', 'breach']"
kv7m,"['omen', 'viper', 'brimstone']"
ja2,"['raze', 'neon', 'jett']"
onna,"['sova', 'breach']"
mai,"['sova', 'fade', 'breach']"
astrixe,"['cypher', 'killjoy']"
Valone,"['neon', 'jett', 'raze']"
PuriTy,"['fade', 'gekko', 'omen']"
Smurfette,"['jett', 'raze', 'neon']"
xanti,"['brimstone', 'omen']"
xKittyx,"['jett', 'killjoy', 'raze']"
star,"['jett', 'raze', 'neon']"
els,"['viper', 'raze', 'jett']"
Alessia,"['jett', 'chamber', 'killjoy']"
Lateu,"['deadlock', 'omen', 'sova']"
ellie,"['jett', 'raze', 'neon']"
Lunaw0w,"['breach', 'sova']"
Pinkalie,"['omen', 'skye', 'viper']"
Kira,"['jett', 'neon', 'raze']"
Leyre,"['astra', 'omen', 'harbor']"
Petra,"['fade', 'sova', 'reyna']"
Sliicyy,"['yoru', 'breach', 'kayo']"
Wens,"['killjoy', 'cypher', 'viper']"
Miyori,"['sova', 'fade', 'viper']"
susbake,"['sage', 'deadlock', 'sova']"
Julis,"['brimstone', 'cypher', 'omen']"
devilasxa,"['breach', 'kayo', 'gekko']"
Jiex,"['jett', 'raze', 'kayo']"
rekohi,"['sova', 'fade']"
Lady,"['raze', 'jett']"
Scarlett,['jett']
ira,['brimstone']
blxssom,"['gekko', 'sova', 'skye']"
Karina,"['killjoy', 'viper', 'cypher']"
PeterBarker,"['skye', 'kayo', 'breach']"
safiaa,"['cypher', 'omen', 'chamber']"
Lizz,['breach']
taraaaaaaaaaaaaa,"['neon', 'raze', 'iso']"
ylva,"['phoenix', 'viper']"
Addi,"['raze', 'neon', 'yoru']"
Nelo,"['killjoy', 'cypher', 'skye']"
Annie,"['raze', 'neon', 'jett']"
etn,"['raze', 'cypher']"
noze,"['killjoy', 'cypher', 'viper']"
OlczaOlcia,"['astra', 'skye']"
Kreya,"['yoru', 'cypher', 'omen']"
schnellÆ,"['jett', 'raze', 'yoru']"
Nidxvilco,"['viper', 'fade', 'deadlock']"
jademwah,"['sova', 'kayo', 'breach']"
may,"['raze', 'reyna', 'cypher']"
kyracujoh,"['raze', 'jett']"
juxi,"['jett', 'raze']"
didii,"['breach', 'kayo', 'skye']"
Lami,"['sova', 'fade', 'gekko']"
Sephia,"['skye', 'kayo', 'phoenix']"
Puffy,"['jett', 'raze']"
BySmall,"['sova', 'gekko', 'sage']"
Gem,"['killjoy', 'cypher', 'viper']"
F4INT,['sova']
Nami,"['omen', 'viper', 'gekko']"
alkyia,"['sova', 'fade', 'raze']"
Marti,"['kayo', 'phoenix', 'gekko']"
roxi,"['sage', 'raze', 'cypher']"
MOOP,"['brimstone', 'sova']"
Lyda,"['raze', 'jett', 'neon']"
sarah,"['kayo', 'breach', 'skye']"
Lokkara,"['viper', 'killjoy', 'cypher']"
Natalcia,"['cypher', 'killjoy', 'viper']"
arya,['gekko']
Mym,"['cypher', 'killjoy', 'viper']"
Miiizzy,"['kayo', 'deadlock', 'viper']"
elysian,"['raze', 'skye', 'sova']"
proxima,"['omen', 'viper', 'skye']"
ikyoo,"['jett', 'raze', 'breach']"
jasmine,['jett']
Felipa,"['kayo', 'breach', 'skye']"
gaaAAB,"['skye', 'kayo', 'breach']"
Koyorii,['omen']
berryx,['breach']
tokameite,"['sova', 'skye', 'viper']"
Desi,"['phoenix', 'skye', 'breach']"
lenka,"['killjoy', 'cypher', 'brimstone']"
mimier,['sova']
adora,"['reyna', 'raze', 'jett']"
