playerName,team,rating,region,playerStatistics,agent,playerCategory
ariola,YDZ.GC,1.04,Americas,"{'average_combat_score': '201.5', 'kill_deaths': '0.84', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '135.1', 'kills_per_round': '0.69', 'assists_per_round': '0.46', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.05', 'headshot_percentage': '40%', 'clutch_success_percentage': '24%'}","['skye', 'viper', 'gekko']",vct-game-changer
emluo,PAW,1.03,Americas,"{'average_combat_score': '204.8', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '134.7', 'kills_per_round': '0.73', 'assists_per_round': '0.27', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '41%', 'clutch_success_percentage': '18%'}","['omen', 'killjoy', 'viper']",vct-game-changer
panini,oomf,1.03,Americas,"{'average_combat_score': '213.1', 'kill_deaths': '1.02', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '136.3', 'kills_per_round': '0.74', 'assists_per_round': '0.31', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.08', 'headshot_percentage': '28%', 'clutch_success_percentage': '11%'}","['clove', 'omen', 'viper']",vct-game-changer
maryna,:3,1.03,Americas,"{'average_combat_score': '199.1', 'kill_deaths': '1.01', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '130.3', 'kills_per_round': '0.73', 'assists_per_round': '0.34', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.07', 'headshot_percentage': '31%', 'clutch_success_percentage': '16%'}","['brimstone', 'astra', 'sova']",vct-game-changer
Princessicy,Noct,1.03,Americas,"{'average_combat_score': '213.2', 'kill_deaths': '0.96', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '140.2', 'kills_per_round': '0.75', 'assists_per_round': '0.29', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.11', 'headshot_percentage': '38%', 'clutch_success_percentage': '12%'}","['viper', 'omen', 'killjoy']",vct-game-changer
Karra,FLY.R,1.03,Americas,"{'average_combat_score': '191.3', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '74%', 'average_damage_per_round': '127.9', 'kills_per_round': '0.67', 'assists_per_round': '0.36', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.07', 'headshot_percentage': '34%', 'clutch_success_percentage': '18%'}","['sova', 'omen', 'brimstone']",vct-game-changer
Starlight,86,1.03,Americas,"{'average_combat_score': '185.0', 'kill_deaths': '1.00', 'kill_assists_survived_traded': '67%', 'average_damage_per_round': '128.1', 'kills_per_round': '0.65', 'assists_per_round': '0.29', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.15', 'headshot_percentage': '32%', 'clutch_success_percentage': '19%'}","['sova', 'brimstone', 'omen']",vct-game-changer
AlexaIsHot,INF,1.02,Americas,"{'average_combat_score': '221.3', 'kill_deaths': '1.04', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '141.9', 'kills_per_round': '0.78', 'assists_per_round': '0.40', 'first_kills_per_round': '0.04', 'first_deaths_per_round': '0.10', 'headshot_percentage': '26%', 'clutch_success_percentage': ''}","['viper', 'brimstone']",vct-game-changer
calsushi,TDY,1.01,Americas,"{'average_combat_score': '203.6', 'kill_deaths': '0.92', 'kill_assists_survived_traded': '66%', 'average_damage_per_round': '138.3', 'kills_per_round': '0.71', 'assists_per_round': '0.23', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.06', 'headshot_percentage': '31%', 'clutch_success_percentage': '16%'}","['gekko', 'sova', 'fade']",vct-game-changer
souhm,Laby,1.01,Americas,"{'average_combat_score': '232.5', 'kill_deaths': '0.84', 'kill_assists_survived_traded': '58%', 'average_damage_per_round': '149.3', 'kills_per_round': '0.75', 'assists_per_round': '0.13', 'first_kills_per_round': '0.06', 'first_deaths_per_round': '0.11', 'headshot_percentage': '32%', 'clutch_success_percentage': '12%'}","['raze', 'jett', 'breach']",vct-game-changer
hayl,Sove,1.01,Americas,"{'average_combat_score': '250.0', 'kill_deaths': '1.06', 'kill_assists_survived_traded': '68%', 'average_damage_per_round': '155.2', 'kills_per_round': '0.85', 'assists_per_round': '0.17', 'first_kills_per_round': '0.29', 'first_deaths_per_round': '0.24', 'headshot_percentage': '27%', 'clutch_success_percentage': ''}","['jett', 'raze']",vct-game-changer
