average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
171.0,0.74,68%,110.1,0.60,0.43,0.03,0.11,26%,9%
184.0,0.82,64%,123.7,0.67,0.31,0.10,0.18,46%,43%
161.7,0.73,63%,109.1,0.57,0.32,0.05,0.09,30%,12%
174.7,0.76,57%,118.1,0.63,0.13,0.06,0.06,22%,7%
176.0,0.72,64%,122.0,0.57,0.17,0.07,0.10,45%,25%
181.5,0.70,69%,123.6,0.58,0.22,0.08,0.19,25%,
169.6,0.73,59%,116.6,0.58,0.21,0.07,0.11,26%,7%
156.3,0.76,61%,109.9,0.58,0.16,0.07,0.11,34%,13%
160.7,0.71,67%,105.1,0.54,0.36,0.08,0.10,28%,10%
146.5,0.63,52%,92.2,0.52,0.21,0.03,0.12,21%,
149.0,0.65,69%,95.1,0.48,0.18,0.05,0.05,20%,
164.6,0.70,69%,114.9,0.60,0.33,0.06,0.05,30%,9%
151.9,0.68,61%,94.4,0.53,0.29,0.05,0.11,30%,20%
182.0,0.77,66%,113.2,0.64,0.06,0.06,0.11,36%,
167.0,0.71,59%,114.2,0.55,0.20,0.07,0.15,15%,
161.3,0.65,68%,107.6,0.53,0.30,0.06,0.09,17%,
140.5,0.69,54%,103.3,0.56,0.18,0.08,0.05,41%,50%
149.8,0.63,64%,106.1,0.49,0.33,0.03,0.10,24%,14%
137.0,0.72,58%,97.2,0.56,0.12,0.10,0.20,17%,
165.0,0.70,63%,121.2,0.61,0.24,0.13,0.13,17%,
169.8,0.72,59%,121.3,0.60,0.14,0.06,0.18,25%,33%
181.6,0.69,60%,124.5,0.60,0.20,0.14,0.18,26%,6%
169.7,0.68,64%,113.3,0.57,0.28,0.10,0.11,23%,5%
167.6,0.72,70%,108.3,0.56,0.33,0.09,0.12,23%,5%
145.9,0.64,56%,96.8,0.50,0.23,0.07,0.09,28%,6%
173.0,0.73,60%,123.1,0.55,0.25,0.00,0.15,35%,
166.3,0.74,64%,112.8,0.58,0.18,0.11,0.18,27%,
175.5,0.66,63%,106.3,0.59,0.25,0.06,0.19,27%,
152.4,0.66,63%,101.8,0.54,0.43,0.03,0.06,29%,21%
179.9,0.76,55%,122.1,0.62,0.16,0.15,0.28,18%,
176.5,0.54,41%,124.7,0.48,0.17,0.10,0.07,15%,
139.5,0.65,60%,96.4,0.48,0.12,0.07,0.07,22%,
189.8,0.77,58%,120.0,0.65,0.12,0.18,0.26,21%,
197.0,0.71,45%,114.9,0.67,0.00,0.12,0.18,25%,
192.0,0.66,60%,125.1,0.63,0.13,0.20,0.27,22%,
176.8,0.72,60%,121.9,0.62,0.17,0.14,0.16,24%,40%
171.0,0.69,55%,110.8,0.53,0.15,0.09,0.23,27%,17%
183.0,0.58,64%,121.3,0.54,0.46,0.08,0.08,19%,18%
143.0,0.54,59%,90.7,0.47,0.22,0.06,0.09,33%,25%
185.5,0.70,64%,123.7,0.64,0.06,0.08,0.08,25%,
159.2,0.67,55%,110.4,0.56,0.14,0.08,0.11,35%,15%
153.0,0.59,57%,103.0,0.53,0.40,0.07,0.17,23%,
176.0,0.70,61%,120.1,0.58,0.15,0.06,0.12,29%,20%
124.0,0.62,59%,77.7,0.45,0.29,0.01,0.10,15%,12%
157.0,0.65,75%,109.0,0.56,0.39,0.08,0.17,28%,
167.0,0.69,59%,113.8,0.60,0.23,0.12,0.19,27%,14%
156.5,0.59,55%,96.0,0.55,0.23,0.03,0.00,33%,
170.5,0.69,63%,112.1,0.63,0.13,0.00,0.06,26%,
129.4,0.57,57%,89.8,0.44,0.26,0.04,0.12,17%,20%
117.0,0.53,60%,83.6,0.40,0.30,0.02,0.05,26%,29%
160.8,0.60,55%,113.8,0.54,0.18,0.14,0.22,29%,25%
178.8,0.69,56%,120.5,0.61,0.17,0.19,0.25,31%,
226.0,0.81,57%,136.9,0.81,0.10,0.19,0.29,44%,
154.0,0.56,57%,109.9,0.48,0.19,0.10,0.10,27%,
157.5,0.57,67%,101.3,0.57,0.37,0.03,0.03,22%,
128.5,0.71,68%,82.9,0.50,0.14,0.06,0.18,32%,
191.3,0.68,57%,128.8,0.65,0.11,0.11,0.17,28%,
147.5,0.58,61%,104.0,0.50,0.17,0.11,0.11,24%,
119.0,0.53,66%,80.0,0.40,0.38,0.00,0.09,24%,17%
132.7,0.54,63%,89.2,0.44,0.35,0.03,0.06,24%,12%
175.0,0.63,58%,119.1,0.61,0.00,0.18,0.21,29%,
148.5,0.59,56%,99.6,0.46,0.32,0.02,0.08,16%,
148.3,0.58,53%,99.9,0.49,0.16,0.05,0.08,30%,16%
153.5,0.47,56%,106.0,0.41,0.23,0.13,0.23,6%,33%
139.0,0.59,47%,94.1,0.47,0.17,0.00,0.11,19%,13%
125.4,0.51,69%,90.6,0.41,0.32,0.05,0.11,33%,11%
125.0,0.54,48%,82.1,0.45,0.12,0.00,0.03,29%,
136.0,0.48,48%,94.5,0.45,0.03,0.00,0.03,23%,
166.5,0.52,53%,113.8,0.47,0.20,0.03,0.03,18%,
117.0,0.63,43%,72.1,0.48,0.10,0.10,0.05,41%,
112.5,0.48,57%,74.0,0.40,0.11,0.03,0.06,31%,10%
135.0,0.50,53%,86.5,0.44,0.17,0.08,0.08,15%,
139.5,0.56,64%,96.4,0.48,0.12,0.05,0.12,19%,
138.0,0.52,50%,84.1,0.44,0.25,0.11,0.14,19%,
136.5,0.57,65%,84.9,0.47,0.42,0.02,0.09,14%,
154.3,0.63,54%,112.5,0.55,0.11,0.13,0.23,31%,
137.5,0.52,57%,86.4,0.46,0.19,0.07,0.12,16%,13%
144.5,0.65,50%,100.2,0.52,0.08,0.04,0.16,21%,
134.0,0.59,62%,95.8,0.47,0.12,0.10,0.16,25%,
143.0,0.53,46%,88.2,0.46,0.13,0.05,0.11,24%,13%
129.5,0.50,44%,81.1,0.44,0.21,0.03,0.09,30%,17%
147.5,0.53,47%,107.5,0.47,0.09,0.09,0.18,14%,20%
131.0,0.54,55%,98.3,0.45,0.15,0.00,0.12,29%,10%
174.5,0.57,66%,108.2,0.53,0.22,0.13,0.22,29%,
159.5,0.56,47%,99.0,0.53,0.12,0.15,0.32,53%,
109.0,0.46,38%,69.7,0.41,0.07,0.00,0.10,26%,
154.5,0.52,55%,91.5,0.48,0.26,0.16,0.19,26%,
103.0,0.37,52%,69.9,0.34,0.14,0.07,0.03,15%,
102.5,0.36,56%,64.5,0.31,0.16,0.03,0.13,26%,
119.0,0.45,45%,85.0,0.39,0.06,0.06,0.15,26%,
143.0,0.47,65%,88.9,0.45,0.10,0.25,0.10,10%,
102.0,0.43,70%,65.1,0.33,0.38,0.05,0.13,9%,
137.0,0.46,52%,84.7,0.42,0.23,0.03,0.16,18%,
128.0,0.46,57%,80.0,0.43,0.30,0.00,0.20,19%,
104.0,0.44,39%,65.2,0.39,0.06,0.03,0.26,28%,
105.8,0.36,49%,72.0,0.32,0.31,0.04,0.10,17%,
95.0,0.38,47%,65.2,0.35,0.09,0.03,0.03,20%,25%
111.5,0.41,53%,66.8,0.36,0.36,0.03,0.03,23%,
114.5,0.39,55%,80.4,0.33,0.15,0.00,0.15,10%,
128.0,0.48,53%,88.9,0.44,0.06,0.06,0.06,38%,7%
138.5,0.46,43%,85.0,0.46,0.04,0.11,0.21,24%,
119.0,0.42,63%,84.2,0.37,0.29,0.03,0.15,15%,9%
115.0,0.39,43%,78.1,0.37,0.13,0.10,0.10,22%,
94.7,0.39,48%,69.0,0.33,0.26,0.00,0.09,25%,10%
102.0,0.35,50%,64.6,0.31,0.25,0.03,0.08,33%,
106.5,0.37,58%,73.8,0.33,0.18,0.06,0.15,19%,
124.5,0.41,64%,78.9,0.36,0.12,0.06,0.15,34%,
93.0,0.35,72%,58.5,0.31,0.41,0.00,0.08,28%,14%
130.5,0.39,41%,98.5,0.38,0.14,0.03,0.28,25%,
97.5,0.31,50%,70.5,0.27,0.10,0.00,0.07,24%,
92.8,0.33,41%,66.9,0.30,0.27,0.05,0.27,28%,
91.0,0.25,39%,52.3,0.25,0.29,0.00,0.04,22%,17%
92.0,0.26,32%,59.9,0.25,0.11,0.00,0.11,13%,
93.5,0.30,38%,61.7,0.28,0.16,0.09,0.13,26%,
74.5,0.21,40%,54.6,0.20,0.17,0.00,0.17,25%,
58.5,0.21,30%,42.8,0.20,0.00,0.00,0.23,32%,
60.0,0.18,43%,41.4,0.18,0.21,0.00,0.18,18%,
215.0,1.13,,,0.70,0.36,,,,
188.4,1.29,,,0.73,0.55,,,,
318.8,1.51,,,1.10,0.31,,,,
242.0,1.42,,,0.89,0.39,,,,
144.0,0.80,,,0.50,0.35,,,,
158.0,0.65,,,0.49,0.29,,,,
205.7,1.02,,,0.75,0.16,,,,
207.7,1.09,,,0.75,0.21,,,,
164.7,0.78,,,0.62,0.16,,,,
155.0,0.57,,,0.49,0.19,,,,
256.8,1.73,83%,167.7,0.94,0.29,0.14,0.10,26%,11%
231.6,1.59,82%,156.9,0.82,0.34,0.09,0.05,20%,19%
267.0,1.30,70%,186.8,0.93,0.19,0.13,0.08,28%,22%
328.5,1.55,64%,203.5,1.14,0.10,0.33,0.17,28%,
234.1,1.46,82%,151.9,0.84,0.48,0.07,0.06,33%,32%
271.1,1.46,79%,171.3,0.95,0.26,0.22,0.14,25%,4%
249.7,1.18,73%,165.2,0.88,0.26,0.12,0.12,28%,20%
291.3,1.30,69%,180.0,1.02,0.12,0.22,0.18,30%,11%
231.8,1.21,71%,156.5,0.82,0.27,0.12,0.12,23%,22%
221.5,1.13,64%,145.1,0.77,0.25,0.07,0.07,20%,
234.5,1.09,66%,156.8,0.84,0.14,0.07,0.07,22%,27%
201.7,1.18,68%,133.5,0.75,0.17,0.09,0.05,37%,23%
262.3,1.20,82%,174.5,0.88,0.31,0.21,0.09,23%,11%
250.7,1.16,79%,160.3,0.81,0.39,0.08,0.07,15%,
227.6,1.15,74%,156.8,0.79,0.28,0.11,0.08,35%,8%
233.9,1.16,75%,150.2,0.81,0.28,0.12,0.12,35%,15%
288.1,1.10,77%,190.7,0.99,0.37,0.14,0.12,24%,10%
223.6,1.16,73%,155.9,0.83,0.19,0.06,0.11,34%,6%
224.4,1.12,74%,143.3,0.79,0.28,0.07,0.04,14%,12%
222.3,1.14,76%,146.3,0.76,0.29,0.10,0.07,25%,9%
231.9,1.24,73%,150.3,0.86,0.16,0.11,0.10,30%,12%
245.7,1.13,76%,165.0,0.87,0.20,0.14,0.13,36%,10%
213.1,1.12,72%,142.1,0.74,0.27,0.09,0.05,30%,15%
144.7,1.21,81%,95.6,0.76,0.43,0.02,0.00,36%,
199.4,1.03,74%,140.0,0.71,0.37,0.03,0.04,28%,13%
252.2,1.13,77%,159.6,0.88,0.27,0.14,0.11,20%,13%
220.0,1.00,71%,145.1,0.82,0.20,0.08,0.08,28%,43%
200.5,0.93,78%,133.3,0.73,0.41,0.08,0.08,28%,9%
229.1,1.11,72%,150.5,0.78,0.27,0.16,0.15,22%,18%
224.4,0.99,73%,143.5,0.79,0.47,0.07,0.09,26%,14%
209.0,1.08,68%,143.2,0.74,0.32,0.05,0.02,16%,5%
260.0,1.09,66%,172.6,0.85,0.10,0.32,0.17,28%,50%
270.5,1.00,71%,179.1,0.90,0.32,0.17,0.12,30%,
223.9,1.05,73%,147.3,0.79,0.29,0.05,0.10,17%,9%
230.4,1.15,73%,139.9,0.87,0.10,0.18,0.11,30%,14%
231.0,1.00,63%,140.9,0.78,0.22,0.16,0.12,21%,8%
248.5,1.01,75%,167.5,0.82,0.18,0.15,0.14,23%,6%
214.5,1.05,73%,137.2,0.73,0.35,0.10,0.07,24%,12%
233.2,1.09,72%,161.9,0.85,0.22,0.10,0.11,34%,6%
222.0,0.93,66%,141.9,0.78,0.16,0.13,0.06,39%,
186.1,0.96,76%,126.4,0.64,0.30,0.06,0.05,34%,19%
227.3,0.96,75%,157.6,0.75,0.29,0.14,0.12,17%,10%
191.8,0.97,71%,128.0,0.69,0.29,0.05,0.05,31%,12%
182.2,0.94,74%,116.0,0.64,0.50,0.06,0.05,23%,10%
220.5,0.97,71%,138.0,0.78,0.22,0.15,0.07,15%,22%
239.4,1.03,71%,163.7,0.82,0.22,0.21,0.19,18%,14%
203.8,0.98,70%,128.5,0.75,0.36,0.08,0.09,31%,5%
198.2,1.00,70%,135.7,0.67,0.22,0.09,0.05,20%,22%
234.6,1.04,68%,154.0,0.78,0.23,0.19,0.23,17%,32%
171.1,1.08,77%,111.5,0.61,0.40,0.06,0.06,26%,24%
189.6,0.87,72%,124.4,0.63,0.38,0.12,0.09,27%,10%
173.9,0.93,69%,123.9,0.64,0.27,0.03,0.06,28%,18%
185.9,0.96,72%,123.7,0.65,0.34,0.07,0.10,31%,19%
232.6,0.95,65%,148.5,0.77,0.17,0.17,0.21,23%,23%
180.7,0.95,75%,116.9,0.64,0.40,0.09,0.08,22%,16%
201.6,1.01,75%,132.8,0.75,0.26,0.06,0.04,33%,20%
176.9,0.85,68%,118.7,0.61,0.36,0.09,0.09,32%,14%
215.0,0.95,71%,141.9,0.76,0.39,0.05,0.07,26%,12%
207.9,1.02,70%,134.4,0.74,0.18,0.15,0.13,38%,18%
200.0,0.95,63%,141.1,0.71,0.22,0.08,0.11,27%,15%
167.3,0.81,67%,110.1,0.59,0.29,0.02,0.04,28%,
206.8,0.91,66%,142.1,0.70,0.18,0.13,0.13,21%,17%
190.2,0.91,67%,118.8,0.68,0.25,0.04,0.05,23%,13%
203.6,0.95,70%,131.9,0.70,0.29,0.11,0.09,26%,12%
183.4,0.93,67%,126.1,0.64,0.18,0.04,0.08,23%,21%
199.5,0.82,61%,131.3,0.64,0.25,0.16,0.09,13%,20%
195.0,0.92,71%,133.2,0.63,0.19,0.10,0.08,25%,7%
229.4,1.00,69%,148.6,0.79,0.14,0.27,0.21,28%,17%
214.2,0.97,66%,139.2,0.75,0.16,0.16,0.21,27%,14%
182.9,0.91,65%,126.9,0.65,0.16,0.12,0.10,29%,19%
177.4,0.88,74%,112.7,0.62,0.43,0.06,0.05,22%,16%
160.4,0.81,78%,107.0,0.55,0.54,0.02,0.03,23%,13%
208.2,0.97,68%,136.6,0.74,0.21,0.12,0.16,33%,21%
170.2,0.87,72%,112.4,0.61,0.39,0.05,0.10,28%,2%
202.0,0.74,76%,145.8,0.63,0.51,0.05,0.10,30%,33%
193.7,0.80,56%,123.9,0.70,0.24,0.04,0.11,31%,9%
208.8,0.89,69%,143.8,0.71,0.22,0.13,0.13,21%,24%
173.5,0.85,61%,112.5,0.64,0.20,0.09,0.05,41%,100%
175.4,0.88,72%,113.0,0.61,0.37,0.04,0.09,19%,24%
173.0,0.87,62%,118.8,0.65,0.21,0.12,0.14,18%,6%
141.9,0.77,72%,99.1,0.54,0.35,0.05,0.09,25%,16%
204.2,0.85,66%,134.8,0.68,0.30,0.11,0.17,25%,16%
188.0,0.88,71%,130.6,0.65,0.16,0.10,0.11,25%,
188.3,0.86,61%,128.5,0.66,0.11,0.12,0.11,23%,11%
145.7,0.86,75%,87.5,0.65,0.30,0.09,0.14,35%,
175.0,0.89,61%,113.8,0.63,0.18,0.08,0.16,28%,25%
170.8,0.82,79%,108.9,0.66,0.43,0.07,0.07,34%,11%
183.9,0.91,70%,126.3,0.65,0.23,0.04,0.11,23%,30%
202.7,0.83,70%,142.4,0.68,0.32,0.12,0.12,25%,20%
205.8,0.88,63%,133.9,0.70,0.17,0.16,0.21,22%,11%
202.3,0.86,67%,132.4,0.69,0.21,0.16,0.06,22%,14%
175.7,0.81,70%,108.2,0.59,0.38,0.10,0.13,17%,20%
173.8,0.84,76%,103.4,0.70,0.21,0.13,0.09,28%,10%
189.7,0.84,62%,125.7,0.68,0.19,0.08,0.13,31%,18%
170.1,0.83,66%,117.7,0.59,0.14,0.04,0.05,22%,9%
160.0,0.77,63%,105.0,0.56,0.32,0.10,0.05,20%,33%
160.7,0.85,68%,99.8,0.57,0.25,0.02,0.08,23%,38%
246.0,0.94,51%,151.4,0.78,0.11,0.16,0.22,7%,
169.5,0.82,58%,114.9,0.64,0.17,0.10,0.21,15%,14%
186.1,0.84,71%,128.0,0.67,0.25,0.09,0.11,26%,17%
152.4,0.73,70%,100.8,0.53,0.38,0.07,0.04,14%,
203.3,0.88,73%,134.5,0.71,0.19,0.15,0.08,31%,17%
171.8,0.83,65%,110.3,0.60,0.27,0.08,0.07,17%,10%
204.0,0.76,57%,127.1,0.59,0.27,0.11,0.16,7%,
178.7,0.75,67%,114.1,0.59,0.33,0.04,0.11,15%,15%
180.1,0.80,61%,126.0,0.62,0.24,0.08,0.15,23%,9%
197.4,0.86,70%,129.3,0.68,0.22,0.18,0.20,22%,16%
161.5,0.80,65%,104.9,0.62,0.27,0.03,0.09,31%,4%
133.8,1.14,77%,76.5,0.80,0.27,0.03,0.06,37%,25%
170.8,0.76,64%,114.3,0.60,0.34,0.05,0.10,19%,10%
173.0,0.75,63%,109.9,0.59,0.27,0.08,0.10,26%,17%
169.0,0.72,65%,112.7,0.57,0.48,0.04,0.09,12%,
172.5,0.77,70%,125.3,0.62,0.22,0.03,0.00,27%,
178.1,0.78,63%,121.1,0.61,0.32,0.08,0.14,23%,10%
183.7,0.78,68%,119.5,0.66,0.29,0.08,0.13,22%,23%
144.0,0.81,61%,97.5,0.57,0.23,0.05,0.07,32%,14%
164.8,0.77,73%,107.2,0.60,0.23,0.05,0.07,40%,33%
164.3,0.84,64%,106.6,0.62,0.22,0.14,0.18,20%,20%
166.3,0.72,66%,109.4,0.58,0.35,0.05,0.08,22%,5%
172.5,0.74,59%,116.6,0.59,0.39,0.07,0.16,5%,
157.0,0.69,57%,98.9,0.53,0.39,0.06,0.12,17%,20%
160.0,0.64,66%,106.4,0.53,0.41,0.04,0.03,20%,10%
141.1,0.61,66%,97.4,0.44,0.50,0.05,0.10,15%,18%
138.9,0.77,73%,87.5,0.58,0.42,0.05,0.04,28%,
156.0,0.69,66%,102.9,0.51,0.23,0.09,0.09,45%,20%
127.3,0.83,76%,74.6,0.57,0.16,0.10,0.07,24%,
146.0,0.76,62%,105.6,0.49,0.10,0.03,0.05,25%,75%
144.9,0.66,65%,98.5,0.50,0.38,0.04,0.06,30%,15%
184.0,0.72,60%,127.5,0.63,0.19,0.11,0.15,24%,
150.5,0.54,50%,97.2,0.44,0.28,0.03,0.09,26%,
184.7,0.70,67%,126.8,0.59,0.33,0.08,0.22,15%,
136.0,0.76,64%,82.1,0.56,0.30,0.04,0.07,26%,25%
158.0,0.65,78%,98.1,0.54,0.41,0.05,0.07,29%,
192.0,0.74,58%,123.5,0.65,0.17,0.09,0.10,18%,14%
182.4,0.72,63%,126.3,0.60,0.25,0.13,0.16,19%,9%
151.8,0.67,65%,105.4,0.53,0.25,0.03,0.04,26%,
156.6,0.61,61%,106.1,0.50,0.30,0.09,0.08,20%,7%
203.0,0.72,63%,129.3,0.63,0.27,0.02,0.12,21%,
137.8,0.69,60%,98.5,0.52,0.23,0.04,0.11,23%,20%
187.0,0.70,50%,128.1,0.64,0.14,0.11,0.23,31%,20%
167.5,0.71,49%,107.7,0.59,0.16,0.14,0.11,39%,
129.5,0.64,68%,88.6,0.48,0.30,0.00,0.05,34%,
148.5,0.61,56%,90.1,0.49,0.39,0.10,0.27,16%,33%
171.5,0.60,54%,109.7,0.54,0.17,0.07,0.16,31%,18%
159.8,0.71,62%,103.2,0.53,0.24,0.08,0.19,22%,8%
166.0,0.67,61%,92.5,0.54,0.24,0.05,0.07,10%,
171.3,0.59,59%,113.9,0.54,0.13,0.05,0.08,23%,4%
167.1,0.66,53%,118.8,0.56,0.11,0.13,0.18,33%,
131.5,0.63,66%,90.3,0.49,0.20,0.02,0.05,40%,18%
137.0,0.57,59%,97.8,0.46,0.22,0.03,0.22,21%,25%
122.5,0.52,65%,85.9,0.41,0.41,0.03,0.09,17%,
154.0,0.57,50%,102.0,0.53,0.13,0.09,0.09,36%,
128.3,0.60,54%,96.6,0.48,0.22,0.10,0.13,28%,
134.3,0.61,75%,87.4,0.49,0.27,0.00,0.10,30%,14%
160.5,0.54,57%,104.1,0.50,0.07,0.11,0.14,17%,
158.8,0.55,62%,107.1,0.48,0.36,0.06,0.14,24%,
130.0,0.53,57%,91.1,0.46,0.32,0.05,0.05,21%,
102.5,0.50,59%,74.4,0.39,0.24,0.00,0.02,43%,
139.5,0.63,44%,81.8,0.53,0.00,0.09,0.22,28%,
147.7,0.55,57%,93.8,0.51,0.18,0.05,0.17,15%,10%
135.5,0.43,47%,89.2,0.41,0.28,0.03,0.06,36%,
113.7,0.48,53%,81.9,0.37,0.14,0.04,0.13,21%,8%
117.0,0.47,51%,73.7,0.40,0.19,0.00,0.09,24%,
85.5,0.30,50%,64.8,0.25,0.16,0.00,0.25,27%,
128.0,0.41,35%,97.7,0.39,0.00,0.00,0.10,22%,8%
120.0,0.43,41%,81.6,0.38,0.16,0.09,0.34,31%,
127.0,0.45,48%,79.5,0.42,0.13,0.03,0.06,19%,
112.5,0.38,39%,81.3,0.35,0.19,0.00,0.23,13%,11%
83.5,0.27,47%,53.4,0.22,0.31,0.00,0.09,27%,
119.0,0.46,36%,75.3,0.43,0.04,0.07,0.18,29%,20%
101.0,0.33,61%,69.6,0.32,0.21,0.04,0.04,27%,
130.5,0.39,41%,80.5,0.38,0.10,0.00,0.14,3%,
108.5,0.35,38%,68.7,0.35,0.12,0.08,0.19,20%,
118.0,0.41,48%,76.2,0.39,0.10,0.03,0.32,25%,
126.5,0.38,45%,78.6,0.35,0.26,0.10,0.26,13%,
110.5,0.38,29%,72.8,0.36,0.07,0.00,0.18,29%,
60.5,0.14,38%,50.4,0.13,0.31,0.00,0.09,14%,20%
122.0,0.31,38%,81.8,0.31,0.08,0.04,0.15,13%,
80.0,0.28,50%,54.5,0.23,0.05,0.09,0.09,18%,
86.0,0.33,50%,68.4,0.30,0.05,0.00,0.15,23%,
82.5,0.24,31%,54.3,0.23,0.08,0.00,0.23,8%,
81.5,0.19,21%,66.1,0.18,0.11,0.07,0.18,10%,
211.8,1.14,73%,149.4,0.79,0.19,0.08,0.10,37%,10%
272.0,1.13,55%,184.9,0.85,0.15,0.15,0.10,26%,50%
205.0,0.72,75%,129.1,0.65,0.10,0.20,0.10,32%,
205.0,0.81,70%,167.1,0.65,0.40,0.10,0.10,35%,
139.0,0.56,65%,78.4,0.45,0.45,0.00,0.05,31%,
98.0,0.47,60%,63.0,0.35,0.45,0.00,0.05,50%,
150.0,0.65,45%,103.9,0.55,0.10,0.15,0.20,34%,
175.0,0.61,57%,128.0,0.52,0.24,0.19,0.24,21%,
129.0,0.57,62%,90.3,0.38,0.33,0.00,0.00,9%,
175.0,0.82,73%,109.6,0.64,0.36,0.00,0.05,44%,33%
133.0,0.41,48%,80.7,0.39,0.30,0.00,0.17,22%,
155.0,0.71,67%,106.2,0.50,0.29,0.08,0.08,21%,
113.0,0.56,67%,62.1,0.42,0.04,0.21,0.21,12%,
154.0,0.50,57%,106.2,0.46,0.14,0.04,0.21,19%,
144.5,0.48,43%,104.4,0.46,0.04,0.07,0.21,28%,
88.5,0.33,46%,60.1,0.32,0.11,0.00,0.21,23%,
79.5,0.18,36%,58.1,0.18,0.18,0.07,0.18,19%,
108.5,0.26,43%,74.6,0.25,0.32,0.07,0.11,17%,
100.5,0.33,39%,71.5,0.32,0.11,0.00,0.07,27%,
82.0,0.18,36%,60.5,0.18,0.18,0.00,0.25,12%,
184.0,0.61,62%,133.3,0.59,0.14,0.14,0.07,27%,17%
172.0,0.57,59%,120.0,0.55,0.24,0.10,0.03,21%,
61.5,0.14,34%,47.8,0.14,0.21,0.03,0.24,7%,14%
250.0,0.85,69%,172.3,0.76,0.07,0.14,0.17,28%,40%
167.5,0.56,66%,111.7,0.52,0.38,0.00,0.03,20%,
140.0,0.46,52%,86.4,0.45,0.10,0.10,0.10,24%,
128.5,0.32,48%,87.4,0.31,0.14,0.07,0.21,24%,
208.5,0.81,53%,134.7,0.70,0.07,0.07,0.03,41%,10%
188.5,0.68,57%,112.3,0.63,0.17,0.07,0.13,29%,
171.0,0.67,50%,119.9,0.60,0.13,0.07,0.03,38%,
191.5,0.68,53%,129.8,0.63,0.17,0.07,0.03,22%,
193.5,0.61,50%,129.4,0.57,0.23,0.00,0.17,21%,13%
176.0,0.59,50%,118.4,0.57,0.10,0.03,0.27,21%,17%
156.5,0.52,53%,111.0,0.47,0.03,0.03,0.03,23%,
141.5,0.46,47%,105.9,0.43,0.27,0.03,0.10,27%,
169.0,0.57,57%,110.6,0.57,0.17,0.07,0.10,26%,
146.5,0.50,53%,85.1,0.47,0.23,0.00,0.10,23%,
92.5,0.44,53%,51.8,0.40,0.10,0.03,0.17,21%,10%
89.0,0.22,57%,66.4,0.20,0.30,0.00,0.23,21%,
111.5,0.32,43%,78.7,0.30,0.20,0.10,0.13,19%,
107.0,0.36,47%,76.4,0.33,0.13,0.03,0.27,43%,11%
104.0,0.39,57%,69.9,0.37,0.17,0.03,0.10,22%,
93.5,0.31,33%,66.5,0.30,0.13,0.00,0.17,19%,
92.5,0.32,30%,67.4,0.30,0.10,0.00,0.40,28%,
212.5,0.74,53%,154.9,0.67,0.17,0.03,0.10,25%,
160.0,0.63,43%,117.8,0.57,0.07,0.03,0.30,25%,50%
126.5,0.38,40%,82.2,0.37,0.10,0.07,0.17,22%,
95.0,0.30,40%,66.6,0.27,0.13,0.03,0.07,23%,
106.5,0.30,40%,68.1,0.27,0.17,0.07,0.13,27%,
223.5,0.88,65%,151.6,0.74,0.06,0.00,0.00,24%,
182.0,0.69,55%,126.8,0.58,0.16,0.06,0.06,16%,14%
181.5,0.67,65%,118.6,0.65,0.03,0.10,0.06,48%,
130.0,0.41,52%,85.9,0.39,0.26,0.06,0.03,32%,
138.0,0.47,42%,82.9,0.45,0.13,0.13,0.19,23%,
91.0,0.27,39%,56.2,0.26,0.19,0.10,0.29,11%,
249.0,0.93,68%,148.2,0.81,0.16,0.10,0.10,38%,
140.5,0.50,55%,104.3,0.42,0.16,0.00,0.06,34%,
111.0,0.41,48%,86.6,0.39,0.06,0.06,0.26,30%,
73.5,0.20,42%,61.4,0.19,0.13,0.06,0.23,21%,
153.5,0.55,63%,103.8,0.53,0.16,0.00,0.09,27%,
82.5,0.30,41%,55.1,0.28,0.09,0.03,0.34,23%,
207.5,0.76,66%,137.2,0.69,0.19,0.06,0.03,31%,
241.0,1.04,82%,157.6,0.88,0.21,0.09,0.09,29%,
174.5,0.71,64%,110.2,0.61,0.33,0.03,0.03,32%,
212.0,0.76,76%,156.3,0.67,0.36,0.15,0.18,30%,
153.0,0.62,61%,99.8,0.55,0.21,0.12,0.06,29%,
128.0,0.60,73%,86.4,0.45,0.30,0.06,0.09,18%,20%
196.0,0.76,55%,126.9,0.67,0.12,0.09,0.12,17%,
195.5,0.74,61%,125.9,0.70,0.09,0.12,0.15,18%,
188.0,0.55,76%,129.7,0.52,0.52,0.06,0.15,18%,
155.0,0.62,64%,97.1,0.55,0.36,0.03,0.09,20%,
160.0,0.59,45%,94.2,0.52,0.24,0.06,0.18,43%,
178.0,0.66,48%,117.4,0.58,0.09,0.12,0.21,32%,
130.5,0.52,55%,94.9,0.42,0.18,0.00,0.15,25%,
132.5,0.54,52%,85.1,0.45,0.09,0.12,0.06,21%,
84.0,0.25,48%,60.6,0.21,0.18,0.03,0.09,16%,
150.5,0.57,48%,98.0,0.52,0.12,0.09,0.33,21%,
116.0,0.46,42%,76.4,0.39,0.15,0.06,0.06,32%,
115.5,0.33,45%,81.3,0.30,0.24,0.00,0.06,15%,
98.5,0.37,48%,65.4,0.33,0.12,0.00,0.06,18%,
119.0,0.38,52%,86.8,0.36,0.15,0.06,0.12,30%,
