average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
170.5,0.85,74%,105.2,0.59,0.40,0.07,0.06,25%,9%
180.5,0.85,64%,118.3,0.60,0.33,0.09,0.11,16%,35%
155.6,0.79,69%,101.3,0.55,0.33,0.08,0.11,27%,36%
197.8,1.03,,128.1,0.71,0.35,0.04,0.08,,
223.1,1.07,,144.0,0.79,0.28,0.15,0.18,,
167.3,0.81,,106.5,0.58,0.27,0.02,0.05,,
197.6,1.11,,117.7,0.72,0.38,0.06,0.06,,
205.8,1.09,76%,138.4,0.72,0.35,0.08,0.06,37%,16%
217.0,1.08,75%,140.7,0.75,0.32,0.13,0.11,35%,16%
198.1,1.12,71%,132.6,0.74,0.19,0.09,0.09,35%,17%
221.1,1.03,71%,144.2,0.76,0.22,0.17,0.17,30%,17%
173.4,0.95,73%,111.2,0.62,0.41,0.08,0.08,31%,14%
185.7,0.91,71%,123.2,0.62,0.44,0.08,0.08,23%,13%
210.2,1.07,72%,138.7,0.75,0.25,0.09,0.10,29%,12%
216.5,1.05,69%,142.8,0.79,0.17,0.17,0.17,31%,16%
224.9,0.97,68%,147.8,0.76,0.19,0.21,0.19,26%,20%
175.7,0.86,66%,117.9,0.57,0.30,0.06,0.07,18%,9%
169.7,0.83,71%,112.4,0.60,0.33,0.06,0.08,31%,10%
249.9,1.15,71%,165.0,0.90,0.23,0.13,0.10,41%,20%
199.4,1.02,73%,131.6,0.71,0.31,0.08,0.08,36%,16%
181.9,0.97,70%,121.4,0.63,0.21,0.08,0.07,38%,5%
191.8,0.95,68%,127.4,0.69,0.24,0.11,0.11,33%,9%
200.0,0.94,68%,130.7,0.70,0.21,0.16,0.17,23%,18%
157.4,0.79,68%,107.7,0.54,0.27,0.04,0.08,22%,13%
237.9,1.08,65%,145.4,0.82,0.20,0.19,0.20,22%,
208.0,1.11,76%,139.3,0.75,0.47,0.07,0.06,31%,11%
198.3,1.08,74%,128.4,0.70,0.36,0.09,0.07,30%,23%
240.4,1.12,74%,154.4,0.81,0.20,0.23,0.21,24%,15%
188.5,0.98,72%,121.6,0.66,0.38,0.09,0.06,22%,17%
192.2,1.00,76%,129.9,0.70,0.33,0.07,0.08,33%,13%
188.0,1.01,71%,126.0,0.66,0.30,0.07,0.07,26%,16%
183.5,0.96,73%,123.9,0.65,0.22,0.08,0.07,23%,12%
182.4,0.92,,118.4,0.64,0.29,0.07,0.04,,
202.5,0.97,,136.1,0.71,0.26,0.09,0.12,,
149.0,0.71,,100.1,0.51,0.50,0.09,0.10,,
235.9,1.05,,163.1,0.80,0.29,0.17,0.11,,
161.6,0.71,,,0.55,0.30,,,,
212.4,1.05,,,0.77,0.19,,,,
205.3,1.08,,132.3,0.75,0.21,0.09,0.13,,
211.0,0.99,,145.6,0.74,0.18,0.17,0.16,,
219.6,1.12,76%,146.1,0.75,0.43,0.09,0.08,19%,13%
227.5,1.20,70%,147.6,0.82,0.22,0.13,0.13,28%,14%
234.5,1.16,71%,154.0,0.83,0.19,0.17,0.16,25%,22%
180.4,0.93,72%,116.7,0.64,0.40,0.05,0.07,22%,21%
205.2,0.96,71%,135.9,0.70,0.26,0.13,0.12,20%,15%
168.7,0.86,69%,111.4,0.60,0.34,0.08,0.12,27%,12%
183.0,0.98,65%,120.5,0.65,0.30,0.06,0.06,24%,4%
187.3,0.91,,130.4,0.65,0.37,0.08,0.08,,
203.6,0.96,,159.8,0.70,0.20,0.17,0.24,,
195.6,0.97,,114.4,0.70,0.32,0.09,0.06,,
221.2,1.07,,162.1,0.78,0.27,0.14,0.06,,
167.4,1.10,,113.2,0.62,0.36,0.02,0.03,,
166.4,0.74,,,0.57,0.30,,,,
176.8,0.81,,,0.59,0.20,,,,
170.7,0.88,74%,113.4,0.60,0.39,0.04,0.06,28%,14%
190.2,0.97,,,0.66,0.31,,,,
306.6,1.69,78%,196.0,1.09,0.21,0.21,0.12,26%,16%
260.3,1.23,84%,183.9,0.86,0.59,0.07,0.06,30%,15%
254.5,1.47,77%,168.2,0.93,0.29,0.11,0.15,25%,17%
261.8,1.22,76%,167.4,0.90,0.30,0.12,0.11,35%,20%
282.0,1.23,71%,169.2,1.00,0.21,0.13,0.08,42%,25%
261.2,1.33,76%,169.0,0.91,0.23,0.20,0.15,24%,17%
