playerName,team,rating,region,playerStatistics,agent,playerCategory
K4DAVRA,M8,1.10,EMEA,"{'average_combat_score': '207.8', 'kill_deaths': '1.12', 'kill_assists_survived_traded': '69%', 'average_damage_per_round': '132.9', 'kills_per_round': '0.74', 'assists_per_round': '0.28', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.08', 'headshot_percentage': '31%', 'clutch_success_percentage': '11%'}","['cypher', 'omen', 'viper']",vct-international
grubinho,KOI,1.09,EMEA,"{'average_combat_score': '197.5', 'kill_deaths': '1.07', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '126.1', 'kills_per_round': '0.70', 'assists_per_round': '0.35', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.08', 'headshot_percentage': '34%', 'clutch_success_percentage': '12%'}","['viper', 'brimstone', 'omen']",vct-international
RieNs,TH,1.09,EMEA,"{'average_combat_score': '205.8', 'kill_deaths': '1.09', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '138.4', 'kills_per_round': '0.72', 'assists_per_round': '0.35', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.06', 'headshot_percentage': '37%', 'clutch_success_percentage': '16%'}","['gekko', 'sova', 'breach']",vct-international
Elite,BBL,1.08,EMEA,"{'average_combat_score': '199.8', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '133.7', 'kills_per_round': '0.73', 'assists_per_round': '0.19', 'first_kills_per_round': '0.08', 'first_deaths_per_round': '0.06', 'headshot_percentage': '43%', 'clutch_success_percentage': '14%'}","['viper', 'killjoy', 'cypher']",vct-international
cNed,FUT,1.08,EMEA,"{'average_combat_score': '226.8', 'kill_deaths': '1.09', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '151.3', 'kills_per_round': '0.79', 'assists_per_round': '0.17', 'first_kills_per_round': '0.16', 'first_deaths_per_round': '0.15', 'headshot_percentage': '26%', 'clutch_success_percentage': '8%'}","['chamber', 'raze', 'jett']",vct-international
sheydos,KOI,1.07,EMEA,"{'average_combat_score': '181.3', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '122.3', 'kills_per_round': '0.67', 'assists_per_round': '0.17', 'first_kills_per_round': '0.05', 'first_deaths_per_round': '0.05', 'headshot_percentage': '26%', 'clutch_success_percentage': '15%'}","['killjoy', 'viper', 'cypher']",vct-international
nataNk,M8,1.07,EMEA,"{'average_combat_score': '229.6', 'kill_deaths': '1.07', 'kill_assists_survived_traded': '70%', 'average_damage_per_round': '150.4', 'kills_per_round': '0.79', 'assists_per_round': '0.24', 'first_kills_per_round': '0.15', 'first_deaths_per_round': '0.14', 'headshot_percentage': '26%', 'clutch_success_percentage': '39%'}","['raze', 'phoenix', 'sage']",vct-international
Derke,VIT,1.07,EMEA,"{'average_combat_score': '234.5', 'kill_deaths': '1.16', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '154.0', 'kills_per_round': '0.83', 'assists_per_round': '0.19', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.16', 'headshot_percentage': '25%', 'clutch_success_percentage': '22%'}","['raze', 'jett', 'yoru']",vct-international
yetujey,FUT,1.07,EMEA,"{'average_combat_score': '201.3', 'kill_deaths': '1.10', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '132.6', 'kills_per_round': '0.71', 'assists_per_round': '0.23', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.09', 'headshot_percentage': '26%', 'clutch_success_percentage': '16%'}","['viper', 'phoenix', 'cypher']",vct-international
Wo0t,TH,1.06,EMEA,"{'average_combat_score': '217.0', 'kill_deaths': '1.08', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '140.7', 'kills_per_round': '0.75', 'assists_per_round': '0.32', 'first_kills_per_round': '0.13', 'first_deaths_per_round': '0.11', 'headshot_percentage': '35%', 'clutch_success_percentage': '16%'}","['kayo', 'skye', 'reyna']",vct-international
marteen,KC,1.06,EMEA,"{'average_combat_score': '222.9', 'kill_deaths': '1.09', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '147.5', 'kills_per_round': '0.78', 'assists_per_round': '0.22', 'first_kills_per_round': '0.17', 'first_deaths_per_round': '0.15', 'headshot_percentage': '26%', 'clutch_success_percentage': '23%'}","['jett', 'raze', 'yoru']",vct-international
benjyfishy,TH,1.05,EMEA,"{'average_combat_score': '198.1', 'kill_deaths': '1.12', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '132.6', 'kills_per_round': '0.74', 'assists_per_round': '0.19', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.09', 'headshot_percentage': '35%', 'clutch_success_percentage': '17%'}","['killjoy', 'cypher', 'viper']",vct-international
