playerName,team,rating,region,playerCategory,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,agent_1,agent_2,agent_3
SHAYDER,38,1.38,Pacific,vct-challengers,194.0,1.81,74%,122.9,0.76,0.58,0.05,0.00,38%,25%,omen,brimstone,
shayellow,Enve,0.17,Americas,vct-game-changer,72.0,0.23,35%,45.6,0.23,0.10,0.10,0.06,26%,,viper,,
shayweeee,31,0.37,Pacific,vct-game-changer,126.5,0.38,45%,78.6,0.35,0.26,0.10,0.26,13%,,breach,viper,
Shazeon,SGE,01.07,EMEA,vct-challengers,210.1,1.11,70%,137.9,0.75,0.23,0.11,0.09,31%,10%,viper,cypher,killjoy
ShelbyLynn,Laby,0.82,Americas,vct-game-changer,175.0,0.66,52%,113.3,0.61,0.06,0.00,0.16,26%,7%,killjoy,cypher,
shen,1337,0.93,Americas,vct-challengers,166.4,0.92,75%,105.5,0.61,0.41,0.05,0.08,23%,9%,sage,breach,kayo
Sheny9,74,0.72,Pacific,vct-challengers,140.5,0.67,54%,100.5,0.54,0.08,0.03,0.04,39%,17%,viper,cypher,killjoy
sher,Fhou,0.77,Americas,vct-game-changer,180.3,0.74,57%,117.7,0.67,0.11,0.06,0.08,35%,,breach,sage,gekko
Shera,69,0.75,Pacific,vct-challengers,152.0,0.68,72%,103.5,0.52,0.48,0.06,0.16,20%,27%,omen,,
sherb,LF8,01.02,Americas,vct-challengers,183.0,1.15,78%,120.4,0.65,0.26,0.09,0.09,36%,,cypher,,
shes,mine,0.59,Americas,vct-challengers,171.0,0.57,50%,109.7,0.53,0.20,0.07,0.27,10%,50%,reyna,raze,
sheween,(+1),0.54,Americas,vct-game-changer,129.5,0.44,51%,91.1,0.39,0.25,0.04,0.21,36%,17%,gekko,cypher,fade
sheydos,KOI,01.07,EMEA,vct-international,181.3,1.13,75%,122.3,0.67,0.17,0.05,0.05,26%,15%,killjoy,viper,cypher
shiba,END,0.85,Pacific,vct-challengers,186.0,0.80,65%,119.2,0.63,0.32,0.08,0.10,24%,9%,sova,skye,viper
