playerName,team,rating,region,playerStatistics,agent,playerCategory
geeza,MU,1.17,Americas,"{'average_combat_score': '223.7', 'kill_deaths': '1.24', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '150.4', 'kills_per_round': '0.86', 'assists_per_round': '0.14', 'first_kills_per_round': '0.11', 'first_deaths_per_round': '0.08', 'headshot_percentage': '32%', 'clutch_success_percentage': '22%'}","['killjoy', 'cypher', 'reyna']",vct-challengers
Kyu,AMB,1.16,Americas,"{'average_combat_score': '233.7', 'kill_deaths': '1.19', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '151.8', 'kills_per_round': '0.81', 'assists_per_round': '0.35', 'first_kills_per_round': '0.10', 'first_deaths_per_round': '0.10', 'headshot_percentage': '28%', 'clutch_success_percentage': '15%'}","['sova', 'fade', 'jett']",vct-challengers
Neat,AOE,1.16,Americas,"{'average_combat_score': '225.6', 'kill_deaths': '1.10', 'kill_assists_survived_traded': '75%', 'average_damage_per_round': '146.3', 'kills_per_round': '0.78', 'assists_per_round': '0.32', 'first_kills_per_round': '0.04', 'first_deaths_per_round': '0.06', 'headshot_percentage': '19%', 'clutch_success_percentage': '11%'}","['omen', 'brimstone']",vct-challengers
Spaz,BLIN,1.16,Americas,"{'average_combat_score': '202.6', 'kill_deaths': '1.13', 'kill_assists_survived_traded': '76%', 'average_damage_per_round': '130.6', 'kills_per_round': '0.69', 'assists_per_round': '0.46', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.07', 'headshot_percentage': '21%', 'clutch_success_percentage': '24%'}","['viper', 'omen', 'astra']",vct-challengers
Melvin,UCSD,1.15,Americas,"{'average_combat_score': '275.5', 'kill_deaths': '1.15', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '174.9', 'kills_per_round': '0.91', 'assists_per_round': '0.12', 'first_kills_per_round': '0.09', 'first_deaths_per_round': '0.15', 'headshot_percentage': '38%', 'clutch_success_percentage': ''}",['jett'],vct-challengers
Simulate,LAG,1.15,Americas,"{'average_combat_score': '238.5', 'kill_deaths': '1.14', 'kill_assists_survived_traded': '65%', 'average_damage_per_round': '149.5', 'kills_per_round': '0.87', 'assists_per_round': '0.11', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.13', 'headshot_percentage': '31%', 'clutch_success_percentage': '33%'}",['raze'],vct-challengers
zeldris,QOR,1.15,Americas,"{'average_combat_score': '257.6', 'kill_deaths': '1.23', 'kill_assists_survived_traded': '73%', 'average_damage_per_round': '165.2', 'kills_per_round': '0.91', 'assists_per_round': '0.18', 'first_kills_per_round': '0.22', 'first_deaths_per_round': '0.15', 'headshot_percentage': '21%', 'clutch_success_percentage': '10%'}","['jett', 'raze']",vct-challengers
chase,Cudd,1.15,Americas,"{'average_combat_score': '244.5', 'kill_deaths': '1.15', 'kill_assists_survived_traded': '81%', 'average_damage_per_round': '158.4', 'kills_per_round': '0.90', 'assists_per_round': '0.24', 'first_kills_per_round': '0.07', 'first_deaths_per_round': '0.05', 'headshot_percentage': '27%', 'clutch_success_percentage': '40%'}",['viper'],vct-challengers
noj,Yonk,1.15,Americas,"{'average_combat_score': '201.5', 'kill_deaths': '1.03', 'kill_assists_survived_traded': '62%', 'average_damage_per_round': '133.7', 'kills_per_round': '0.77', 'assists_per_round': '0.36', 'first_kills_per_round': '0.03', 'first_deaths_per_round': '0.13', 'headshot_percentage': '31%', 'clutch_success_percentage': '29%'}","['sage', 'killjoy']",vct-challengers
collin,38,1.14,Americas,"{'average_combat_score': '278.5', 'kill_deaths': '1.16', 'kill_assists_survived_traded': '71%', 'average_damage_per_round': '180.6', 'kills_per_round': '0.95', 'assists_per_round': '0.21', 'first_kills_per_round': '0.26', 'first_deaths_per_round': '0.08', 'headshot_percentage': '38%', 'clutch_success_percentage': ''}","['jett', 'raze']",vct-challengers
